Histogram of mdc
entries         164981    

value               entries     %
01                    12890   7.8 ******
02                     2638   1.6 *
03                     6572   4.0 ***
04                    11658   7.1 *****
05                    19542  11.8 *********
06                    20705  12.5 **********
07                     5894   3.6 **
08                    21960  13.3 **********
09                     8558   5.2 ****
10                     3608   2.2 *
11                     8613   5.2 ****
12                     3372   2.0 *
13                     5227   3.2 **
14                     4436   2.7 **
15                     1511   0.9 
16                     2809   1.7 *
17                     6049   3.7 **
18                     3266   2.0 *
19                     2428   1.5 *
20                      649   0.4 
21                     4044   2.5 *
22                      210   0.1 
23                     4412   2.7 **
24                      704   0.4 
25                      246   0.1 
NA                      694   0.4 
PR                     2286   1.4 *

